کد بررسی,دمای هوای اطراف ماشین (کلوین),دمای فرآیند (کلوین),سرعت چرخش اجزای ماشین (دور در دقیقه),گشتاور ماشین (نیوتون متر),مدت زمان سایش ابزار (دقیقه),وضعیت خرابی,نوع خرابی
4953,303.8,312.7,1374,53.6,136,0,No Failure
4954,303.7,312.5,1670,26.1,139,0,No Failure
4955,303.7,312.6,1702,29.1,141,0,No Failure
4956,303.8,312.5,1366,45.1,143,0,No Failure
4957,303.8,312.5,2344,15.2,146,0,No Failure
4958,303.8,312.6,1768,23.9,149,0,No Failure
4959,303.8,312.5,1523,47,152,0,No Failure
4960,303.8,312.6,1735,25.9,154,0,No Failure
4961,303.9,312.7,1339,62.3,156,0,No Failure
4962,303.9,312.7,1800,24.3,158,0,No Failure
4963,304,312.7,1456,51.2,160,0,No Failure
4964,303.9,312.7,1789,24.4,163,0,No Failure
4965,303.9,312.7,1602,33.9,165,0,No Failure
4966,303.8,312.7,1364,49.3,167,0,No Failure
4967,303.8,312.6,1793,28.1,170,0,No Failure
4968,303.9,312.6,1426,53.4,172,0,No Failure
4969,303.9,312.7,1485,43.3,174,0,No Failure
4970,303.9,312.7,1528,38.4,177,0,No Failure
4971,303.8,312.6,1565,36,179,0,No Failure
4972,303.8,312.7,1838,27.8,181,0,No Failure
4973,303.8,312.6,1811,24.9,183,0,No Failure
4974,303.8,312.7,1461,38.2,188,0,No Failure
4975,303.8,312.7,1414,41.7,190,0,No Failure
4976,303.7,312.7,1426,45.5,192,0,No Failure
4977,303.7,312.7,1359,56.8,194,1,Overstrain Failure
4978,303.7,312.7,1540,44.8,196,0,No Failure
4979,303.6,312.7,1429,47.7,198,0,No Failure
4980,303.7,312.7,1612,36.3,200,0,No Failure
4981,303.7,312.8,1685,31.8,203,0,No Failure
4982,303.7,312.8,1558,37.7,206,0,No Failure
4983,303.7,313,1811,24.3,209,0,No Failure
4984,303.8,313.1,1869,25.8,211,0,No Failure
4985,303.8,313.1,1256,58.7,213,1,Overstrain Failure
4986,303.8,313,1789,23.5,215,0,No Failure
4987,303.7,312.9,1502,40.5,0,0,No Failure
4988,303.7,313,1303,54.4,2,0,No Failure
4989,303.8,313.1,2497,13,5,1,Power Failure
4990,303.9,313.2,1499,37.4,7,0,No Failure
4991,303.9,313.2,1393,46.5,9,0,No Failure
4992,303.9,313,1475,41,11,0,No Failure
4993,303.8,312.9,1573,34.6,14,0,No Failure
4994,303.8,312.9,1819,23.7,16,0,No Failure
4995,303.5,312.6,1642,29.4,18,0,No Failure
4996,303.6,312.6,1540,39.8,21,0,No Failure
4997,303.6,312.8,1400,43.2,23,0,No Failure
4998,303.6,312.8,2659,11.4,26,1,Power Failure
4999,303.6,312.8,1825,25.2,29,0,No Failure
5000,303.7,312.9,1532,41.3,32,0,No Failure
5001,303.7,312.8,1832,23.6,35,0,No Failure
5002,303.6,312.7,2174,17.6,37,0,No Failure
5003,303.7,312.8,1627,31.7,40,0,No Failure
5004,303.7,312.8,1437,51.3,42,0,No Failure
5005,303.7,312.8,1364,46.3,44,0,No Failure
5006,303.7,312.9,1444,52.7,46,0,No Failure
5007,303.7,312.8,1366,47.3,49,0,No Failure
5008,303.8,312.9,1442,48.3,52,0,No Failure
5009,303.7,312.8,1488,42.8,54,0,No Failure
5010,303.7,312.8,1523,40.7,59,0,No Failure
5011,303.7,312.8,1543,38.3,61,0,No Failure
5012,303.7,312.8,1634,33.8,63,0,No Failure
5013,303.8,312.9,1815,27.8,66,0,No Failure
5014,303.8,312.9,1594,35.2,69,0,No Failure
5015,303.8,313,1452,38.6,72,0,No Failure
5016,303.9,313,1759,28.4,74,0,No Failure
5017,303.9,313,1408,47.5,76,0,No Failure
5018,303.9,313,1483,45,78,0,No Failure
5019,303.9,313,1620,36.6,80,0,No Failure
5020,304,313.1,1466,39.5,83,0,No Failure
5021,304.1,313.1,1556,36.3,86,0,No Failure
5022,304,313,1350,61.1,88,0,No Failure
5023,304,313.1,1404,47.1,90,0,No Failure
5024,304,313,1575,34.5,92,0,No Failure
5025,303.9,313.1,1639,29,95,0,No Failure
5026,303.9,313.1,1473,42.8,97,0,No Failure
5027,303.9,313.2,1481,40,100,0,No Failure
5028,304,313.3,1294,54.6,102,0,No Failure
5029,303.9,313.2,1630,29.3,104,0,No Failure
5030,303.9,313.2,1624,39.8,107,0,No Failure
5031,303.9,313.1,1437,48.3,110,0,No Failure
5032,303.8,313,1514,45,113,0,No Failure
5033,304,313.1,1694,31.4,116,0,No Failure
5034,304,313.1,1564,50.9,119,0,No Failure
5035,303.9,313.1,1514,41.1,121,0,No Failure
5036,304,313.2,1500,40.6,124,0,No Failure
5037,304,313.2,1615,37.8,127,0,No Failure
5038,304.1,313.2,1586,41.1,129,0,No Failure
5039,304.1,313.3,1732,28.5,132,0,No Failure
5040,304.1,313.3,1689,32.5,134,0,No Failure
5041,304.1,313.2,1586,34.6,139,0,No Failure
5042,304,313.2,1314,47.1,144,0,No Failure
5043,304.1,313.2,1569,35.8,146,0,No Failure
5044,304.1,313.2,1468,39.4,148,0,No Failure
5045,304.1,313.2,1412,47.5,150,0,No Failure
5046,304.1,313.2,1510,46.9,152,0,No Failure
5047,304.1,313.2,1410,42.4,155,0,No Failure
5048,304.1,313.3,1680,29.3,158,0,No Failure
5049,304,313.2,1271,68.6,161,1,Power Failure
5050,304,313.1,1472,45.5,166,0,No Failure
5051,304,313,1701,30.4,171,0,No Failure
5052,303.9,313,1480,39.9,176,0,No Failure
5053,303.9,313,1433,48.4,178,0,No Failure
5054,303.8,312.9,1514,34.3,180,0,No Failure
5055,303.8,312.9,1619,35.7,182,0,No Failure
5056,303.8,312.9,1378,45.6,184,0,No Failure
5057,303.9,312.9,1430,53.5,189,0,No Failure
5058,303.8,312.9,1367,49.9,192,0,No Failure
5059,303.9,312.9,1526,42.5,194,0,No Failure
5060,303.9,312.8,1419,47.9,196,0,No Failure
5061,304,312.8,1542,42.7,198,0,No Failure
5062,304,312.9,1363,62.5,200,1,Overstrain Failure
5063,304,312.9,1313,53.9,202,0,No Failure
5064,304,312.9,1495,46.6,0,0,No Failure
5065,304,313,1407,42.1,5,0,No Failure
5066,304.1,313,1566,37.2,7,0,No Failure
5067,304.1,313.1,1550,30.9,9,0,No Failure
5068,304.2,313.2,1396,50.5,11,0,No Failure
5069,304.3,313.3,1540,39,14,0,No Failure
5070,304.2,313.2,1380,48.7,17,0,No Failure
5071,304.2,313.1,1608,31.1,20,0,No Failure
5072,304.2,313,1442,40.9,23,0,No Failure
5073,304.1,313,1408,45.3,28,0,No Failure
5074,304,313,1454,46.8,30,0,No Failure
5075,304.1,313.1,1666,34.6,33,0,No Failure
5076,304.1,313.2,1366,46.6,35,0,No Failure
5077,304.2,313.2,1464,44.9,37,0,No Failure
5078,304.3,313.3,1775,24.9,39,0,No Failure
5079,304.3,313.4,1482,43.8,41,0,No Failure
5080,304.2,313.4,1411,54.8,44,0,No Failure
5081,304.2,313.3,1410,51.6,47,0,No Failure
5082,304.1,313.3,1494,39,49,0,No Failure
5083,304.1,313.2,1590,43.4,52,0,No Failure
5084,304.1,313.1,1327,54.1,57,0,No Failure
5085,304.1,313.1,1969,20.8,59,0,No Failure
5086,304,313,1377,56,61,0,No Failure
5087,304,313,1541,45.9,64,0,No Failure
5088,304,313,1685,28.2,66,0,No Failure
5089,304,313.1,1465,41,69,0,No Failure
5090,303.9,313.1,1483,47.2,71,0,No Failure
5091,303.9,313.2,1570,40.7,74,0,No Failure
5092,303.9,313.2,1345,48.2,77,0,No Failure
5093,303.9,313.2,1608,40.6,79,0,No Failure
5094,304,313.3,1415,52.8,82,0,No Failure
5095,304.1,313.5,1470,45.8,85,0,No Failure
5096,304.1,313.5,1428,39.9,88,0,No Failure
5097,304.2,313.5,1627,32.2,91,0,No Failure
5098,304.2,313.4,1457,49.4,96,0,No Failure
5099,304.2,313.4,1475,40.2,98,0,No Failure
5100,304.2,313.5,1438,50.1,100,0,No Failure
5101,304.2,313.5,1437,47.2,102,0,No Failure
5102,304.1,313.4,1518,42.4,105,0,No Failure
5103,304.1,313.5,1587,33.6,108,0,No Failure
5104,304.1,313.4,1399,43.7,111,0,No Failure
5105,304.1,313.5,1469,44.6,113,0,No Failure
5106,304.1,313.4,1374,56.6,115,0,No Failure
5107,304,313.3,1519,36.7,117,0,No Failure
5108,303.9,313.2,1540,44.4,119,0,No Failure
5109,303.9,313.3,1394,51.6,121,0,No Failure
5110,304,313.4,1389,45.8,123,0,No Failure
5111,304,313.5,1732,26.2,126,0,No Failure
5112,304.1,313.6,1556,37.4,129,0,No Failure
5113,304.1,313.6,1441,43.7,131,0,No Failure
5114,304.1,313.6,1382,46.7,134,0,No Failure
5115,304.2,313.8,1481,44.9,136,0,No Failure
5116,304.2,313.7,2113,18.4,139,0,No Failure
5117,304.2,313.8,1401,53.9,142,0,No Failure
5118,304.1,313.6,1611,31.4,144,0,No Failure
5119,304.2,313.6,1512,33.4,146,0,No Failure
5120,304.2,313.6,1411,46,149,0,No Failure
5121,304.2,313.6,1424,43.7,151,0,No Failure
5122,304.2,313.6,1469,40,154,0,No Failure
5123,304.2,313.5,1684,29.8,156,0,No Failure
5124,304.2,313.5,1532,41.3,161,0,No Failure
5125,304.2,313.5,1557,37.3,164,0,No Failure
5126,304.3,313.5,1416,48.1,167,0,No Failure
5127,304.3,313.5,1802,25.4,170,0,No Failure
5128,304.3,313.5,2245,15.1,172,0,No Failure
5129,304.2,313.4,1434,42.5,175,0,No Failure
5130,304.1,313.3,1725,28.3,177,0,No Failure
5131,304.2,313.3,1668,35.7,180,0,No Failure
5132,304.1,313.3,1452,43.9,182,0,No Failure
5133,304.1,313.3,1415,50,184,0,No Failure
5134,304.1,313.2,1824,25.8,186,0,No Failure
5135,304.1,313.3,1438,45.5,188,0,No Failure
5136,304.1,313.3,1883,24.5,190,0,No Failure
5137,304.2,313.4,1735,28.9,192,0,No Failure
5138,304.3,313.5,1464,36.7,194,0,No Failure
5139,304.3,313.6,1489,40.3,196,0,No Failure
5140,304.4,313.6,1510,38.9,199,0,No Failure
5141,304.3,313.6,1585,32.1,202,0,No Failure
5142,304.4,313.7,1509,35,205,1,Tool Wear Failure
5143,304.4,313.6,1568,39.1,0,0,No Failure
5144,304.3,313.5,1525,42,2,0,No Failure
5145,304.4,313.7,1607,33.5,5,0,No Failure
5146,304.5,313.7,1670,32.9,7,0,No Failure
5147,304.4,313.6,1585,38.9,9,0,No Failure
5148,304.4,313.6,1569,38.4,11,0,No Failure
5149,304.4,313.6,1507,43.1,13,0,No Failure
5150,304.3,313.5,1452,41.5,15,0,No Failure
5151,304.3,313.5,1590,29.8,17,0,No Failure
5152,304.3,313.6,1409,56,19,0,No Failure
5153,304.3,313.5,2643,12.7,21,0,No Failure
5154,304.2,313.4,1644,31.7,23,0,No Failure
5155,304.2,313.4,1568,37.6,25,0,No Failure
5156,304.2,313.3,1625,37.3,27,0,No Failure
5157,304.2,313.4,1482,41.4,32,0,No Failure
5158,304.1,313.3,1397,49.6,34,0,No Failure
5159,304.1,313.3,1459,50.3,39,0,No Failure
5160,304.2,313.4,1490,44,41,0,No Failure
5161,304.1,313.2,1434,50.1,43,0,No Failure
5162,304.1,313.2,2028,18.9,45,0,No Failure
5163,304.2,313.3,1464,45.9,48,0,No Failure
5164,304.2,313.4,1713,23.5,50,0,No Failure
5165,304.3,313.4,1624,32.1,53,0,No Failure
5166,304.2,313.4,1421,43.4,56,0,No Failure
5167,304.2,313.5,1546,41.4,58,0,No Failure
5168,304.2,313.4,1639,32.7,63,0,No Failure
5169,304.1,313.4,1696,29.6,65,0,No Failure
5170,304.1,313.3,1470,39.9,70,0,No Failure
5171,304.1,313.3,1480,38.4,72,0,No Failure
5172,304.2,313.4,1329,54.5,75,0,No Failure
5173,304.2,313.4,1740,28.2,78,0,No Failure
5174,304.2,313.5,1739,28.1,80,0,No Failure
5175,304.2,313.5,1390,47.8,83,0,No Failure
5176,304.2,313.4,1740,23.7,86,0,No Failure
5177,304,313.3,1844,27.1,88,0,No Failure
5178,304,313.1,1388,53.2,91,0,No Failure
5179,304,313.2,1517,43.1,96,0,No Failure
5180,304,313.1,1450,42.8,101,0,No Failure
5181,304,313.2,1584,38.7,104,0,No Failure
5182,304,313.1,1720,28.7,106,0,No Failure
5183,303.9,313.1,1586,31.9,108,0,No Failure
5184,303.9,313,1901,22.5,110,0,No Failure
5185,304,313,1397,42.4,113,0,No Failure
5186,304,313,2012,21.1,115,0,No Failure
5187,304,313,2354,15,117,0,No Failure
5188,304,313.1,1648,35.7,119,0,No Failure
5189,304,313.2,1632,30.6,121,0,No Failure
5190,304.1,313.2,1427,46.9,123,0,No Failure
5191,304.1,313.2,1452,48,126,0,No Failure
5192,304,313.2,1416,46,128,0,No Failure
5193,303.9,313.1,1310,62.9,130,0,No Failure
5194,304,313.1,1408,39.8,132,0,No Failure
5195,303.9,313.1,1668,34.4,137,0,No Failure
5196,303.9,313,1551,36.8,140,0,No Failure
5197,303.9,313,1517,36,142,0,No Failure
5198,303.8,312.9,1570,35.8,147,0,No Failure
5199,303.8,312.8,1428,53.3,152,0,No Failure
5200,303.8,312.8,1503,40,154,0,No Failure
5201,303.8,312.8,1416,58.7,156,0,No Failure
5202,303.7,312.7,1396,47.3,158,0,No Failure
5203,303.7,312.7,1335,51.1,161,0,No Failure
5204,303.7,312.6,1671,30.5,163,0,No Failure
5205,303.7,312.7,1989,22.4,166,0,No Failure
5206,303.7,312.7,1468,43.3,168,0,No Failure
5207,303.7,312.6,1711,27.6,170,0,No Failure
5208,303.8,312.7,1488,41.3,175,0,No Failure
5209,303.8,312.7,1664,29.3,178,0,No Failure
5210,303.8,312.7,1507,38.5,180,0,No Failure
5211,303.7,312.6,1466,42.5,183,0,No Failure
5212,303.7,312.5,1433,53.6,185,0,No Failure
5213,303.7,312.5,1397,45.7,187,0,No Failure
5214,303.7,312.6,1429,43.3,189,0,No Failure
5215,303.7,312.7,1572,37.2,192,0,No Failure
5216,303.7,312.7,1532,42.7,194,0,No Failure
5217,303.7,312.7,1316,51.8,197,0,No Failure
5218,303.8,312.8,1420,47.9,200,0,No Failure
5219,303.8,312.9,1589,37.2,203,0,No Failure
5220,303.8,313,1365,59.9,205,1,Overstrain Failure
5221,303.8,313,1633,32.9,207,0,No Failure
5222,303.9,313,1626,31.4,209,0,No Failure
5223,303.9,313.1,1665,29.6,0,0,No Failure
5224,303.9,313.2,1350,47.2,2,0,No Failure
5225,303.9,313.2,1590,31.9,5,0,No Failure
5226,304,313.2,1437,53.9,7,0,No Failure
5227,303.9,313,1403,48.3,10,0,No Failure
5228,303.9,313.1,1440,41.1,12,0,No Failure
5229,303.9,313.1,1343,61.4,14,0,No Failure
5230,303.9,313.1,1790,26.7,17,0,No Failure
5231,303.8,313.1,2117,18.6,22,0,No Failure
5232,303.8,313.1,1458,42.2,25,0,No Failure
5233,303.6,312.9,1381,57.8,27,0,No Failure
5234,303.6,312.9,1450,45.3,29,0,No Failure
5235,303.7,312.9,1461,50.1,31,0,No Failure
5236,303.7,312.9,1511,41,33,0,No Failure
5237,303.8,313.1,1394,45.4,36,0,No Failure
5238,303.8,313,1499,42.3,38,0,No Failure
5239,303.7,313,1457,44.1,40,0,No Failure
5240,303.7,313,1753,29,42,0,No Failure
5241,303.7,313,1694,28,44,0,No Failure
5242,303.7,313.1,1683,28.4,46,0,No Failure
5243,303.7,313.1,1496,47.4,48,0,No Failure
5244,303.7,313.1,1721,34.8,50,0,No Failure
5245,303.6,313,1593,31.6,52,0,No Failure
5246,303.6,313,1575,38.3,54,0,No Failure
5247,303.5,313,1465,41,56,0,No Failure
5248,303.6,313.1,1405,38.3,58,0,No Failure
5249,303.5,313,1902,21.6,60,0,No Failure
5250,303.4,312.9,1422,39.9,63,0,No Failure
5251,303.5,312.9,1332,52.9,66,0,No Failure
5252,303.4,312.9,1307,54.3,68,0,No Failure
5253,303.5,313,1322,59.5,71,0,No Failure
5254,303.5,313,1547,40.3,73,0,No Failure
5255,303.5,313.1,1897,23.6,75,0,No Failure
5256,303.5,313,1403,51.9,77,0,No Failure
5257,303.5,313,1393,51.6,80,0,No Failure
5258,303.5,313,1482,38.5,82,0,No Failure
5259,303.5,312.9,1572,44.7,84,0,No Failure
5260,303.5,312.9,1544,36.9,87,0,No Failure
5261,303.5,313,1492,46.1,89,0,No Failure
5262,303.4,312.8,1513,35.8,92,0,No Failure
5263,303.4,312.8,1449,43.9,94,0,No Failure
5264,303.5,312.8,1877,22.3,96,0,No Failure
5265,303.4,312.8,1376,53.4,98,0,No Failure
5266,303.5,312.9,1883,23.3,100,0,No Failure
5267,303.4,312.8,1518,38.7,103,0,No Failure
5268,303.5,312.9,1438,42.8,106,0,No Failure
5269,303.4,312.9,1389,54.1,109,0,No Failure
5270,303.5,312.9,1504,44.8,111,0,No Failure
5271,303.5,312.9,1275,64.4,113,0,No Failure
5272,303.6,313,1534,39.7,115,0,No Failure
5273,303.6,313,1396,38.2,117,0,No Failure
5274,303.6,313.1,1395,44.1,120,0,No Failure
5275,303.6,313,1617,30.9,122,0,No Failure
5276,303.7,313.1,1423,41.2,124,0,No Failure
5277,303.5,313,1606,34,126,0,No Failure
5278,303.5,312.9,1501,44,128,0,No Failure
5279,303.5,312.9,1618,30.4,130,0,No Failure
5280,303.6,313,1522,35.8,133,0,No Failure
5281,303.6,312.9,1480,41.4,135,0,No Failure
5282,303.7,313,1469,39.9,137,0,No Failure
5283,303.8,313.2,1381,52.4,140,0,No Failure
5284,303.8,313.2,1525,41.9,145,0,No Failure
5285,303.8,313.2,1732,29.6,147,0,No Failure
5286,303.8,313.1,1523,39.8,150,0,No Failure
5287,303.8,313.1,1422,42.4,152,0,No Failure
5288,303.8,313.2,1506,46.9,154,0,No Failure
5289,303.8,313.2,1531,39.4,159,0,No Failure
5290,303.9,313.3,1507,34.3,161,0,No Failure
5291,303.9,313.3,1526,40.7,164,0,No Failure
5292,303.8,313.3,1406,52.1,166,0,No Failure
5293,303.9,313.3,1567,35,168,0,No Failure
5294,303.9,313.4,1464,49.1,171,0,No Failure
5295,303.9,313.4,1442,48.5,174,0,No Failure
5296,303.8,313.2,1336,47.8,176,0,No Failure
5297,303.8,313.2,1379,50.2,178,0,No Failure
5298,303.7,313.1,1406,48.6,183,0,No Failure
5299,303.7,313.1,2130,18.1,185,0,No Failure
5300,303.7,313.1,1355,49.1,188,0,No Failure
5301,303.8,313.2,1710,26.5,190,0,No Failure
5302,303.8,313.1,1309,55.8,193,0,No Failure
5303,303.9,313.1,1491,37.2,195,0,No Failure
5304,303.9,313.2,1481,44.1,197,0,No Failure
5305,303.9,313.1,1425,49.3,199,0,No Failure
5306,303.9,313.2,1680,29.1,201,0,No Failure
5307,304,313.2,1612,31.7,206,0,No Failure
5308,304,313.3,1530,34.8,211,0,No Failure
5309,304,313.2,1481,42.6,213,0,No Failure
5310,303.9,313.2,1422,48,215,1,Tool Wear Failure
5311,303.8,313,1427,43,0,0,No Failure
5312,303.7,312.9,1460,49.8,2,0,No Failure
5313,303.6,312.9,1873,23.5,7,0,No Failure
5314,303.7,312.9,1566,32.6,9,0,No Failure
5315,303.6,312.8,1701,30.8,12,0,No Failure
5316,303.6,312.8,1710,27.2,14,0,No Failure
5317,303.6,312.8,1689,33.1,16,0,No Failure
5318,303.6,312.7,1637,32.9,19,0,No Failure
5319,303.5,312.6,1496,39,21,0,No Failure
5320,303.5,312.7,1402,47,23,0,No Failure
5321,303.4,312.7,1363,45.5,26,0,No Failure
5322,303.4,312.7,1576,49.9,28,0,No Failure
5323,303.4,312.7,1357,55.3,31,0,No Failure
5324,303.4,312.7,1399,48.4,34,0,No Failure
5325,303.4,312.8,1526,30.8,37,0,No Failure
5326,303.5,312.7,1694,27.3,40,0,No Failure
5327,303.5,312.7,1420,49.1,42,0,No Failure
5328,303.5,312.7,2116,16.7,45,0,No Failure
5329,303.7,312.9,1406,41.9,48,0,No Failure
5330,303.7,313,1456,45.5,51,0,No Failure
5331,303.6,312.9,1588,31.9,53,0,No Failure
5332,303.7,312.8,1448,44.5,55,0,No Failure
5333,303.6,312.7,1403,46.2,57,0,No Failure
5334,303.5,312.6,1405,51.6,62,0,No Failure
5335,303.4,312.6,2706,9.8,65,1,Power Failure
5336,303.3,312.4,1505,38.9,68,0,No Failure
5337,303.2,312.4,1663,33.7,71,0,No Failure
5338,303.3,312.6,1482,44.4,73,0,No Failure
5339,303.3,312.5,1674,32.7,76,0,No Failure
5340,303.4,312.7,1594,32.8,79,0,No Failure
5341,303.5,312.7,1393,49.3,82,0,No Failure
5342,303.5,312.8,1404,55.8,84,0,No Failure
5343,303.5,312.8,1375,45.7,89,0,No Failure
5344,303.5,312.8,1607,38.4,92,0,No Failure
5345,303.4,312.8,1360,50.8,94,0,No Failure
5346,303.5,312.8,1524,39.4,96,0,No Failure
5347,303.4,312.7,1534,35.5,98,0,No Failure
5348,303.3,312.7,1262,63.8,100,0,No Failure
5349,303.3,312.6,1623,34.6,102,0,No Failure
5350,303.3,312.7,1642,33.6,104,0,No Failure
5351,303.4,312.8,1622,35.1,107,0,No Failure
5352,303.5,312.9,1530,34.5,110,0,No Failure
5353,303.4,312.8,1590,36.3,113,0,No Failure
5354,303.4,312.7,1589,34,116,0,No Failure
5355,303.4,312.6,1462,37.5,118,0,No Failure
5356,303.3,312.5,1328,49.8,120,0,No Failure
5357,303.3,312.6,1692,29,125,0,No Failure
5358,303.3,312.5,1968,20.6,130,0,No Failure
5359,303.3,312.6,1827,24.2,132,0,No Failure
5360,303.3,312.6,1397,47.1,137,0,No Failure
5361,303.3,312.6,1463,44,140,0,No Failure
5362,303.3,312.7,1643,30.7,142,0,No Failure
5363,303.2,312.6,1281,57,144,0,No Failure
5364,303.2,312.5,1518,39.9,146,0,No Failure
5365,303.2,312.6,1601,35.3,148,0,No Failure
5366,303.1,312.6,1548,36.4,150,0,No Failure
5367,303.1,312.6,1404,40.6,152,0,No Failure
5368,303.1,312.5,1766,26.7,157,0,No Failure
5369,303.1,312.5,1667,30,160,0,No Failure
5370,303,312.5,1507,37.9,163,0,No Failure
5371,303,312.4,1627,37.1,168,0,No Failure
5372,302.9,312.3,1435,47.7,173,0,No Failure
5373,302.9,312.3,1509,46.8,175,0,No Failure
5374,302.9,312.3,1809,25,180,0,No Failure
5375,302.9,312.3,1515,40.8,183,0,No Failure
5376,302.9,312.3,1530,34.9,185,0,No Failure
5377,302.8,312.3,1336,57.5,187,0,No Failure
5378,302.9,312.4,2030,19.1,192,0,No Failure
5379,302.9,312.4,1550,36.9,194,0,No Failure
5380,302.9,312.4,1446,41.7,196,0,No Failure
5381,302.8,312.3,1494,37.5,198,0,No Failure
5382,302.8,312.4,1651,27,200,0,No Failure
5383,302.9,312.4,1698,33.8,202,0,No Failure
5384,302.8,312.3,1504,40.3,204,0,No Failure
5385,302.9,312.4,1421,46,206,0,No Failure
5386,302.9,312.3,1754,26.9,209,0,No Failure
5387,302.9,312.2,1469,42,214,0,No Failure
5388,302.8,312.2,1433,50,216,0,No Failure
5389,302.8,312.3,1432,49,218,0,No Failure
5390,302.8,312.3,1366,49.1,221,0,No Failure
5391,302.8,312.3,1483,47.2,223,0,No Failure
5392,302.7,312.2,1572,34.4,228,0,No Failure
5393,302.8,312.2,1481,40.2,230,0,No Failure
5394,302.8,312.3,1473,42.6,232,0,No Failure
5395,302.8,312.3,1262,70.5,234,1,Power Failure
5396,302.8,312.4,1529,36.8,237,0,No Failure
5397,302.8,312.4,1523,39.7,239,0,No Failure
5398,302.8,312.3,1416,42.7,241,0,No Failure
5399,302.9,312.4,1923,23.9,244,0,No Failure
5400,302.8,312.4,1411,53.8,246,1,Overstrain Failure
5401,302.7,312.4,1477,46.3,251,1,Overstrain Failure
5402,302.6,312.3,1454,54.8,253,1,Tool Wear Failure
5403,302.7,312.3,1421,48.5,0,0,No Failure
5404,302.7,312.3,1858,25.4,2,0,No Failure
5405,302.8,312.5,1422,46.1,4,0,No Failure
5406,302.7,312.4,1444,48.7,9,0,No Failure
5407,302.7,312.4,1360,47.8,11,0,No Failure
5408,302.7,312.4,1954,24.8,13,0,No Failure
5409,302.6,312.4,1628,33,15,0,No Failure
5410,302.7,312.4,1433,44.2,17,0,No Failure
5411,302.7,312.5,1417,51.5,19,0,No Failure
5412,302.8,312.6,1462,39.4,22,0,No Failure
5413,302.9,312.6,1328,59.9,24,0,No Failure
5414,302.7,312.5,1527,36.4,26,0,No Failure
5415,302.6,312.3,1534,34.3,31,0,No Failure
5416,302.6,312.4,1410,50.3,33,0,No Failure
5417,302.6,312.3,1660,30.3,36,0,No Failure
5418,302.6,312.4,1386,45.8,38,0,No Failure
5419,302.6,312.4,1398,41.6,40,0,No Failure
5420,302.6,312.3,1321,53.4,42,0,No Failure
5421,302.6,312.3,1512,34.2,44,0,No Failure
5422,302.6,312.3,1566,36.6,46,0,No Failure
5423,302.7,312.4,1422,44.5,49,0,No Failure
5424,302.6,312.3,1647,31.8,52,0,No Failure
5425,302.6,312.2,1377,45.5,54,0,No Failure
5426,302.5,312.2,1775,27.9,56,0,No Failure
5427,302.6,312.3,1554,42,58,0,No Failure
5428,302.7,312.4,1423,51.9,60,0,No Failure
5429,302.7,312.4,1453,47.3,62,0,No Failure
5430,302.8,312.4,1590,34.4,64,0,No Failure
5431,302.8,312.5,1694,28.4,66,0,No Failure
5432,302.8,312.5,1462,43.4,68,0,No Failure
5433,302.8,312.4,1392,46.2,70,0,No Failure
5434,302.9,312.5,1550,45.5,72,0,No Failure
5435,302.9,312.5,1629,30.4,74,0,No Failure
5436,303,312.5,1524,42.1,76,0,No Failure
5437,302.9,312.5,1679,30.9,79,0,No Failure
5438,302.9,312.6,1394,46.4,82,0,No Failure
5439,302.9,312.5,1683,32.1,85,0,No Failure
5440,303,312.5,1626,30.5,87,0,No Failure
5441,303,312.5,1698,30,89,0,No Failure
5442,303,312.6,1392,42.9,94,0,No Failure
5443,303.1,312.7,1353,51.8,97,0,No Failure
5444,303,312.7,1426,46.8,99,0,No Failure
5445,303,312.7,2024,19.9,102,0,No Failure
5446,303,312.8,1648,32.1,104,0,No Failure
5447,303.1,312.9,1511,40.1,107,0,No Failure
5448,303.1,312.8,1465,44.1,109,0,No Failure
5449,303,312.7,1551,41.8,111,0,No Failure
5450,303.1,312.8,2329,15.1,113,0,No Failure
5451,303.1,312.8,1435,41.9,115,0,No Failure
5452,303,312.7,1361,48.8,120,0,No Failure
5453,303,312.7,1553,35.8,122,0,No Failure
5454,303,312.6,1451,42.1,125,0,No Failure
5455,303,312.5,1461,40.2,127,0,No Failure
5456,303.1,312.6,1895,23.5,129,0,No Failure
5457,303.1,312.6,1567,32.9,132,0,No Failure
5458,303,312.5,1602,33.7,135,0,No Failure
5459,303.1,312.6,1514,42.1,138,0,No Failure
5460,303.1,312.5,1453,49.1,140,0,No Failure
5461,303,312.4,1526,36.1,142,0,No Failure
5462,302.9,312.3,1339,52.1,145,0,No Failure
5463,302.9,312.3,1889,22.8,148,0,No Failure
5464,302.9,312.4,1561,34.8,150,0,No Failure
5465,302.9,312.4,1659,33.1,152,0,No Failure
5466,302.9,312.4,1424,49.5,155,0,No Failure
5467,302.9,312.3,1426,44.7,157,0,No Failure
5468,302.9,312.4,1383,51.4,160,0,No Failure
5469,302.8,312.3,1764,29.9,162,0,No Failure
5470,302.7,312.2,1439,42.5,164,0,No Failure
5471,302.7,312.2,1585,35.5,167,0,No Failure
5472,302.7,312.3,1346,61.2,170,0,Random Failures
5473,302.8,312.3,1386,57.8,172,0,No Failure
5474,302.7,312.2,1369,51.8,174,0,No Failure
5475,302.7,312.1,1378,46.9,176,0,No Failure
5476,302.7,312.2,1336,46.8,179,0,No Failure
